scenario,operation,second,latency_ms,ok
none,product page,13.320,0.863,true
none,order history,13.330,0.407,true
none,order history,13.340,1.686,true
none,product page,13.350,0.083,true
none,product page,13.360,-0.045,true
none,order history,13.370,0.079,true
none,product page,13.380,0.063,true
none,order history,13.390,0.026,true
none,product page,13.400,0.694,true
none,checkout,13.410,18.846,true
none,product page,13.420,0.831,true
none,order history,13.430,0.255,true
none,order history,13.440,-0.417,true
none,order history,13.450,-0.524,true
none,product page,13.460,0.548,true
none,product page,13.470,0.674,true
none,product page,13.480,0.281,true
none,product page,13.490,0.740,true
none,product page,13.500,0.837,true
none,order history,13.510,0.349,true
none,checkout,13.520,9.331,true
none,product page,13.530,0.031,true
none,product page,13.540,0.346,true
none,product page,13.550,0.376,true
none,product page,13.560,0.515,true
none,product page,13.570,0.222,true
none,order history,13.580,0.228,true
none,order history,13.590,0.004,true
none,product page,13.600,0.990,true
none,product page,13.610,1.001,true
none,order history,13.620,0.670,true
none,product page,13.630,0.082,true
none,checkout,13.640,19.030,true
none,product page,13.650,0.488,true
none,product page,13.660,0.296,true
none,product page,13.670,0.406,true
none,product page,13.680,0.735,true
none,product page,13.690,1.054,true
none,product page,13.700,1.134,true
none,product page,13.710,1.083,true
none,product page,13.720,1.213,true
none,checkout,13.730,8.266,true
none,product page,13.740,-0.125,true
none,product page,13.750,0.334,true
none,product page,13.760,0.462,true
none,product page,13.770,0.171,true
none,order history,13.780,0.167,true
none,product page,13.790,0.559,true
none,product page,13.800,0.721,true
none,order history,13.810,0.368,true
none,product page,13.820,1.415,true
none,order history,13.830,-0.226,true
none,checkout,13.840,9.012,true
none,product page,13.850,0.167,true
none,order history,13.860,0.068,true
none,product page,13.870,0.565,true
none,product page,13.880,0.292,true
none,product page,13.890,1.015,true
none,checkout,13.900,9.216,true
none,product page,13.910,1.718,true
none,product page,13.920,0.384,true
none,checkout,13.930,9.141,true
none,checkout,13.940,9.447,true
none,order history,13.950,0.003,true
none,product page,13.960,0.645,true
none,order history,13.970,0.107,true
none,order history,13.980,0.066,true
none,product page,13.990,0.862,true
none,checkout,14.000,8.934,true
none,checkout,14.010,8.929,true
none,product page,14.020,0.012,true
none,order history,14.030,-0.190,true
none,product page,14.040,0.409,true
none,product page,14.050,0.191,true
none,product page,14.060,0.579,true
none,product page,14.070,0.169,true
none,product page,14.080,0.782,true
none,product page,14.090,0.806,true
none,checkout,14.100,9.657,true
none,order history,14.110,1.292,true
